sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,Bergischer HC vs SC Magdeburg,2021-05-08 16:30,21:25,Final,Round: 29,Bergischer HC,SC Magdeburg,21,25
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs HSC 2000 Coburg,2021-05-08 16:30,28:26,Final,Round: 29,HSG Nordhorn-Lingen,HSC 2000 Coburg,28,26
LIQUI MOLY HBL 2020/21,SC Magdeburg vs HBW Balingen-Weilstetten,2021-05-06 17:00,26:28,Final,Round: 28,SC Magdeburg,HBW Balingen-Weilstetten,26,28
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs Füchse Berlin,2021-05-06 17:00,24:27,Final,Round: 28,Rhein-Neckar Löwen,Füchse Berlin,24,27
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs MT Melsungen,2021-05-06 17:00,29:33,Final,Round: 28,SC DHfK Leipzig,MT Melsungen,29,33
LIQUI MOLY HBL 2020/21,GWD Minden vs TVB Stuttgart,2021-05-06 17:00,27:27,Final,Round: 28,GWD Minden,TVB Stuttgart,27,27
LIQUI MOLY HBL 2020/21,HC Erlangen vs THW Kiel,2021-05-05 16:30,25:31,Final,Round: 28,HC Erlangen,THW Kiel,25,31
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs TBV Lemgo Lippe,2021-05-05 16:30,21:27,Final,Round: 28,HSG Wetzlar,TBV Lemgo Lippe,21,27
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs SG Flensburg-Handewitt,2021-05-05 16:30,28:28,Final,Round: 28,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,28,28
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs TSV Hannover-Burgdorf,2021-05-05 16:30,26:33,Final,Round: 28,HSC 2000 Coburg,TSV Hannover-Burgdorf,26,33
LIQUI MOLY HBL 2020/21,TuSEM Essen vs Bergischer HC,2021-05-05 16:30,22:32,Final,Round: 28,TuSEM Essen,Bergischer HC,22,32
LIQUI MOLY HBL 2020/21,TuSEM Essen vs THW Kiel,2021-04-25 14:00,27:31,Final,Round: 12,TuSEM Essen,THW Kiel,27,31
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs HSG Wetzlar,2021-04-25 14:00,29:30,Final,Round: 18,HSG Nordhorn-Lingen,HSG Wetzlar,29,30
LIQUI MOLY HBL 2020/21,HC Erlangen vs SC Magdeburg,2021-04-25 14:00,30:28,Final,Round: 27,HC Erlangen,SC Magdeburg,30,28
LIQUI MOLY HBL 2020/21,MT Melsungen vs SG Flensburg-Handewitt,2021-04-25 11:30,30:32,Final,Round: 22,MT Melsungen,SG Flensburg-Handewitt,30,32
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs FRISCH AUF! Göppingen,2021-04-24 18:30,28:26,Final,Round: 27,TVB Stuttgart,FRISCH AUF! Göppingen,28,26
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs Rhein-Neckar Löwen,2021-04-24 16:30,28:34,Final,Round: 27,TBV Lemgo Lippe,Rhein-Neckar Löwen,28,34
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs Eulen Ludwigshafen,2021-04-22 17:00,35:29,Final,Round: 27,SG Flensburg-Handewitt,Eulen Ludwigshafen,35,29
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs HSG Wetzlar,2021-04-22 17:00,25:24,Final,Round: 27,TSV Hannover-Burgdorf,HSG Wetzlar,25,24
LIQUI MOLY HBL 2020/21,MT Melsungen vs THW Kiel,2021-04-22 17:00,26:32,Final,Round: 27,MT Melsungen,THW Kiel,26,32
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs TuSEM Essen,2021-04-22 17:00,31:28,Final,Round: 27,HBW Balingen-Weilstetten,TuSEM Essen,31,28
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs GWD Minden,2021-04-22 17:00,20:22,Final,Round: 27,HSG Nordhorn-Lingen,GWD Minden,20,22
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs THW Kiel,2021-04-18 14:00,22:33,Final,Round: 16,HBW Balingen-Weilstetten,THW Kiel,22,33
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs Bergischer HC,2021-04-18 14:00,29:22,Final,Round: 21,SG Flensburg-Handewitt,Bergischer HC,29,22
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs HSG Nordhorn-Lingen,2021-04-18 14:00,26:26,Final,Round: 26,FRISCH AUF! Göppingen,HSG Nordhorn-Lingen,26,26
LIQUI MOLY HBL 2020/21,SC Magdeburg vs MT Melsungen,2021-04-18 11:30,31:27,Final,Round: 26,SC Magdeburg,MT Melsungen,31,27
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs TSV Hannover-Burgdorf,2021-04-17 18:30,33:28,Final,Round: 26,Rhein-Neckar Löwen,TSV Hannover-Burgdorf,33,28
LIQUI MOLY HBL 2020/21,THW Kiel vs Bergischer HC,2021-04-15 17:00,33:30,Final,Round: 26,THW Kiel,Bergischer HC,33,30
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs HBW Balingen-Weilstetten,2021-04-15 17:00,26:18,Final,Round: 26,SC DHfK Leipzig,HBW Balingen-Weilstetten,26,18
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs Füchse Berlin,2021-04-15 17:00,29:27,Final,Round: 26,HSG Wetzlar,Füchse Berlin,29,27
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs TVB Stuttgart,2021-04-15 17:00,28:24,Final,Round: 26,Eulen Ludwigshafen,TVB Stuttgart,28,24
LIQUI MOLY HBL 2020/21,TuSEM Essen vs SG Flensburg-Handewitt,2021-04-15 17:00,28:29,Final,Round: 26,TuSEM Essen,SG Flensburg-Handewitt,28,29
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs GWD Minden,2021-04-11 14:00,29:27,Final,Round: 25,TBV Lemgo Lippe,GWD Minden,29,27
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs HSG Wetzlar,2021-04-11 14:00,24:31,Final,Round: 25,TVB Stuttgart,HSG Wetzlar,24,31
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs SC Magdeburg,2021-04-11 14:00,26:33,Final,Round: 25,HSG Nordhorn-Lingen,SC Magdeburg,26,33
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs Rhein-Neckar Löwen,2021-04-11 14:00,28:31,Final,Round: 25,HSC 2000 Coburg,Rhein-Neckar Löwen,28,31
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs SC DHfK Leipzig,2021-04-11 11:30,29:23,Final,Round: 25,SG Flensburg-Handewitt,SC DHfK Leipzig,29,23
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs THW Kiel,2021-04-10 18:30,29:35,Final,Round: 25,TSV Hannover-Burgdorf,THW Kiel,29,35
LIQUI MOLY HBL 2020/21,Füchse Berlin vs Eulen Ludwigshafen,2021-04-08 17:00,28:21,Final,Round: 25,Füchse Berlin,Eulen Ludwigshafen,28,21
LIQUI MOLY HBL 2020/21,MT Melsungen vs TuSEM Essen,2021-04-08 17:00,35:31,Final,Round: 25,MT Melsungen,TuSEM Essen,35,31
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs FRISCH AUF! Göppingen,2021-04-08 17:00,30:31,Final,Round: 31,HBW Balingen-Weilstetten,FRISCH AUF! Göppingen,30,31
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs HSG Nordhorn-Lingen,2021-04-08 17:00,30:26,Final,Round: 32,Rhein-Neckar Löwen,HSG Nordhorn-Lingen,30,26
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs Rhein-Neckar Löwen,2021-04-04 14:00,34:32,Final,Round: 24,HSG Wetzlar,Rhein-Neckar Löwen,34,32
