sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,SC Magdeburg vs FRISCH AUF! Göppingen,2020-10-08 17:00,28:22,Final,Round: 3,SC Magdeburg,FRISCH AUF! Göppingen,28,22
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs HSC 2000 Coburg,2020-10-08 17:00,27:23,Final,Round: 3,TSV Hannover-Burgdorf,HSC 2000 Coburg,27,23
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs Eulen Ludwigshafen,2020-10-08 17:00,24:22,Final,Round: 3,TBV Lemgo Lippe,Eulen Ludwigshafen,24,22
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs HSG Nordhorn-Lingen,2020-10-07 17:00,33:26,Final,Round: 2,SG Flensburg-Handewitt,HSG Nordhorn-Lingen,33,26
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs TuSEM Essen,2020-10-07 17:00,31:23,Final,Round: 2,TVB Stuttgart,TuSEM Essen,31,23
LIQUI MOLY HBL 2020/21,Bergischer HC vs HC Erlangen,2020-10-07 17:00,29:25,Final,Round: 2,Bergischer HC,HC Erlangen,29,25
LIQUI MOLY HBL 2020/21,GWD Minden vs HSG Wetzlar,2020-10-07 17:00,24:29,Final,Round: 2,GWD Minden,HSG Wetzlar,24,29
LIQUI MOLY HBL 2020/21,THW Kiel vs TSV Hannover-Burgdorf,2020-10-06 17:00,34:31,Final,Round: 2,THW Kiel,TSV Hannover-Burgdorf,34,31
LIQUI MOLY HBL 2020/21,Füchse Berlin vs SC Magdeburg,2020-10-06 17:00,22:32,Final,Round: 2,Füchse Berlin,SC Magdeburg,22,32
LIQUI MOLY HBL 2020/21,MT Melsungen vs TBV Lemgo Lippe,2020-10-06 17:00,27:21,Final,Round: 2,MT Melsungen,TBV Lemgo Lippe,27,21
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs HBW Balingen-Weilstetten,2020-10-06 17:00,28:23,Final,Round: 2,FRISCH AUF! Göppingen,HBW Balingen-Weilstetten,28,23
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs Rhein-Neckar Löwen,2020-10-06 17:00,24:26,Final,Round: 2,Eulen Ludwigshafen,Rhein-Neckar Löwen,24,26
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs SC DHfK Leipzig,2020-10-06 17:00,22:29,Final,Round: 2,HSC 2000 Coburg,SC DHfK Leipzig,22,29
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs TVB Stuttgart,2020-10-04 14:00,30:20,Final,Round: 1,Rhein-Neckar Löwen,TVB Stuttgart,30,20
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs SG Flensburg-Handewitt,2020-10-04 14:00,27:29,Final,Round: 1,HSG Wetzlar,SG Flensburg-Handewitt,27,29
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs MT Melsungen,2020-10-04 14:00,23:25,Final,Round: 1,HBW Balingen-Weilstetten,MT Melsungen,23,25
LIQUI MOLY HBL 2020/21,THW Kiel vs HC Erlangen,2020-10-04 11:30,36:30,Final,Round: 1,THW Kiel,HC Erlangen,36,30
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs Füchse Berlin,2020-10-03 18:30,20:25,Final,Round: 1,HSG Nordhorn-Lingen,Füchse Berlin,20,25
LIQUI MOLY HBL 2020/21,SC Magdeburg vs Bergischer HC,2020-10-01 17:00,27:31,Final,Round: 1,SC Magdeburg,Bergischer HC,27,31
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs GWD Minden,2020-10-01 17:00,26:25,Final,Round: 1,TSV Hannover-Burgdorf,GWD Minden,26,25
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs Eulen Ludwigshafen,2020-10-01 17:00,27:19,Final,Round: 1,SC DHfK Leipzig,Eulen Ludwigshafen,27,19
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs HSC 2000 Coburg,2020-10-01 17:00,33:26,Final,Round: 1,TBV Lemgo Lippe,HSC 2000 Coburg,33,26
LIQUI MOLY HBL 2021/22,THW Kiel vs FRISCH AUF! Göppingen,2022-06-12 13:30,42:35,Final,Round: 34,THW Kiel,FRISCH AUF! Göppingen,42,35
LIQUI MOLY HBL 2021/22,SC Magdeburg vs Rhein-Neckar Löwen,2022-06-12 13:30,37:34,Final,Round: 34,SC Magdeburg,Rhein-Neckar Löwen,37,34
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs SC DHfK Leipzig,2022-06-12 13:30,26:26,Final,Round: 34,TSV Hannover-Burgdorf,SC DHfK Leipzig,26,26
LIQUI MOLY HBL 2021/22,Füchse Berlin vs SG Flensburg-Handewitt,2022-06-12 13:30,22:28,Final,Round: 34,Füchse Berlin,SG Flensburg-Handewitt,22,28
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs GWD Minden,2022-06-12 13:30,30:28,Final,Round: 34,HSG Wetzlar,GWD Minden,30,28
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs Handball Sport Verein Hamburg,2022-06-12 13:30,28:24,Final,Round: 34,TBV Lemgo Lippe,Handball Sport Verein Hamburg,28,24
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs MT Melsungen,2022-06-12 13:30,28:25,Final,Round: 34,TVB Stuttgart,MT Melsungen,28,25
LIQUI MOLY HBL 2021/22,Bergischer HC vs TuS N-Lübbecke,2022-06-12 13:30,26:22,Final,Round: 34,Bergischer HC,TuS N-Lübbecke,26,22
LIQUI MOLY HBL 2021/22,HC Erlangen vs HBW Balingen-Weilstetten,2022-06-12 13:30,33:26,Final,Round: 34,HC Erlangen,HBW Balingen-Weilstetten,33,26
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs SC Magdeburg,2022-06-09 17:05,31:36,Final,Round: 33,SC DHfK Leipzig,SC Magdeburg,31,36
LIQUI MOLY HBL 2021/22,GWD Minden vs HC Erlangen,2022-06-09 17:05,22:21,Final,Round: 33,GWD Minden,HC Erlangen,22,21
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs TSV Hannover-Burgdorf,2022-06-09 17:05,21:20,Final,Round: 33,TuS N-Lübbecke,TSV Hannover-Burgdorf,21,20
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs TVB Stuttgart,2022-06-09 17:05,27:32,Final,Round: 33,Handball Sport Verein Hamburg,TVB Stuttgart,27,32
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs Bergischer HC,2022-06-08 17:05,21:24,Final,Round: 33,SG Flensburg-Handewitt,Bergischer HC,21,24
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs THW Kiel,2022-06-08 17:05,26:33,Final,Round: 33,Rhein-Neckar Löwen,THW Kiel,26,33
LIQUI MOLY HBL 2021/22,MT Melsungen vs HSG Wetzlar,2022-06-08 17:05,27:22,Final,Round: 33,MT Melsungen,HSG Wetzlar,27,22
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs TBV Lemgo Lippe,2022-06-08 17:05,33:33,Final,Round: 33,FRISCH AUF! Göppingen,TBV Lemgo Lippe,33,33
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs Füchse Berlin,2022-06-08 17:05,23:23,Final,Round: 33,HBW Balingen-Weilstetten,Füchse Berlin,23,23
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs HC Erlangen,2022-06-05 14:05,28:27,Final,Round: 32,TSV Hannover-Burgdorf,HC Erlangen,28,27
LIQUI MOLY HBL 2021/22,Füchse Berlin vs GWD Minden,2022-06-05 14:05,35:25,Final,Round: 32,Füchse Berlin,GWD Minden,35,25
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs SG Flensburg-Handewitt,2022-06-05 14:05,30:25,Final,Round: 32,TBV Lemgo Lippe,SG Flensburg-Handewitt,30,25
LIQUI MOLY HBL 2021/22,THW Kiel vs Handball Sport Verein Hamburg,2022-06-05 12:00,29:22,Final,Round: 32,THW Kiel,Handball Sport Verein Hamburg,29,22
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs SC DHfK Leipzig,2022-06-04 16:30,24:27,Final,Round: 32,HSG Wetzlar,SC DHfK Leipzig,24,27
LIQUI MOLY HBL 2021/22,Bergischer HC vs MT Melsungen,2022-06-04 14:30,24:31,Final,Round: 32,Bergischer HC,MT Melsungen,24,31
LIQUI MOLY HBL 2021/22,SC Magdeburg vs HBW Balingen-Weilstetten,2022-06-02 17:05,31:26,Final,Round: 32,SC Magdeburg,HBW Balingen-Weilstetten,31,26
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs Rhein-Neckar Löwen,2022-06-02 17:05,30:28,Final,Round: 32,FRISCH AUF! Göppingen,Rhein-Neckar Löwen,30,28
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs TuS N-Lübbecke,2022-06-02 17:05,29:31,Final,Round: 32,TVB Stuttgart,TuS N-Lübbecke,29,31
LIQUI MOLY HBL 2021/22,THW Kiel vs TuS N-Lübbecke,2022-05-26 17:05,32:23,Final,Round: 30,THW Kiel,TuS N-Lübbecke,32,23
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs SG Flensburg-Handewitt,2022-05-26 17:05,26:28,Final,Round: 30,TVB Stuttgart,SG Flensburg-Handewitt,26,28
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs SC Magdeburg,2022-05-22 14:05,22:32,Final,Round: 31,Handball Sport Verein Hamburg,SC Magdeburg,22,32
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs THW Kiel,2022-05-22 12:00,27:28,Final,Round: 31,SG Flensburg-Handewitt,THW Kiel,27,28
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs Bergischer HC,2022-05-22 12:00,22:26,Final,Round: 31,SC DHfK Leipzig,Bergischer HC,22,26
LIQUI MOLY HBL 2021/22,HC Erlangen vs Füchse Berlin,2022-05-22 12:00,25:31,Final,Round: 31,HC Erlangen,Füchse Berlin,25,31
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs FRISCH AUF! Göppingen,2022-05-22 12:00,22:27,Final,Round: 31,TuS N-Lübbecke,FRISCH AUF! Göppingen,22,27
LIQUI MOLY HBL 2021/22,SC Magdeburg vs TuS N-Lübbecke,2022-05-19 17:05,38:20,Final,Round: 12,SC Magdeburg,TuS N-Lübbecke,38,20
LIQUI MOLY HBL 2021/22,Füchse Berlin vs FRISCH AUF! Göppingen,2022-05-19 17:05,37:31,Final,Round: 23,Füchse Berlin,FRISCH AUF! Göppingen,37,31
LIQUI MOLY HBL 2021/22,MT Melsungen vs TBV Lemgo Lippe,2022-05-19 17:05,18:23,Final,Round: 31,MT Melsungen,TBV Lemgo Lippe,18,23
LIQUI MOLY HBL 2021/22,GWD Minden vs TSV Hannover-Burgdorf,2022-05-19 17:05,26:26,Final,Round: 31,GWD Minden,TSV Hannover-Burgdorf,26,26
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs HSG Wetzlar,2022-05-19 17:05,24:28,Final,Round: 31,HBW Balingen-Weilstetten,HSG Wetzlar,24,28
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs TVB Stuttgart,2022-05-15 11:00,33:30,Final,Round: 20,TBV Lemgo Lippe,TVB Stuttgart,33,30
LIQUI MOLY HBL 2021/22,SC Magdeburg vs MT Melsungen,2022-05-15 11:00,33:26,Final,Round: 30,SC Magdeburg,MT Melsungen,33,26
LIQUI MOLY HBL 2021/22,Füchse Berlin vs SC DHfK Leipzig,2022-05-14 18:30,34:25,Final,Round: 30,Füchse Berlin,SC DHfK Leipzig,34,25
LIQUI MOLY HBL 2021/22,Bergischer HC vs GWD Minden,2022-05-14 16:30,25:26,Final,Round: 30,Bergischer HC,GWD Minden,25,26
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs HBW Balingen-Weilstetten,2022-05-12 17:05,31:27,Final,Round: 30,TSV Hannover-Burgdorf,HBW Balingen-Weilstetten,31,27
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs HC Erlangen,2022-05-12 17:05,26:30,Final,Round: 30,HSG Wetzlar,HC Erlangen,26,30
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs Rhein-Neckar Löwen,2022-05-12 17:05,24:23,Final,Round: 30,TBV Lemgo Lippe,Rhein-Neckar Löwen,24,23
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs Handball Sport Verein Hamburg,2022-05-12 17:05,24:28,Final,Round: 30,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,24,28
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs SG Flensburg-Handewitt,2022-05-08 14:05,26:31,Final,Round: 12,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,26,31
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs Bergischer HC,2022-05-08 14:05,24:22,Final,Round: 29,Rhein-Neckar Löwen,Bergischer HC,24,22
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs TBV Lemgo Lippe,2022-05-08 14:05,29:32,Final,Round: 29,HBW Balingen-Weilstetten,TBV Lemgo Lippe,29,32
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs TuS N-Lübbecke,2022-05-08 14:05,32:24,Final,Round: 29,Handball Sport Verein Hamburg,TuS N-Lübbecke,32,24
LIQUI MOLY HBL 2021/22,GWD Minden vs TVB Stuttgart,2022-05-08 12:00,25:26,Final,Round: 29,GWD Minden,TVB Stuttgart,25,26
LIQUI MOLY HBL 2021/22,HC Erlangen vs SC Magdeburg,2022-05-07 18:30,36:38,Final,Round: 29,HC Erlangen,SC Magdeburg,36,38
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs Füchse Berlin,2022-05-07 16:30,28:30,Final,Round: 29,HSG Wetzlar,Füchse Berlin,28,30
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs FRISCH AUF! Göppingen,2022-05-05 17:05,26:21,Final,Round: 29,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,26,21
LIQUI MOLY HBL 2021/22,MT Melsungen vs TSV Hannover-Burgdorf,2022-05-05 17:05,22:29,Final,Round: 29,MT Melsungen,TSV Hannover-Burgdorf,22,29
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs THW Kiel,2022-05-05 17:05,20:31,Final,Round: 29,SC DHfK Leipzig,THW Kiel,20,31
LIQUI MOLY HBL 2021/22,THW Kiel vs MT Melsungen,2022-05-01 14:05,27:25,Final,Round: 28,THW Kiel,MT Melsungen,27,25
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs HSG Wetzlar,2022-05-01 14:05,22:28,Final,Round: 28,TSV Hannover-Burgdorf,HSG Wetzlar,22,28
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs SC DHfK Leipzig,2022-05-01 14:05,29:25,Final,Round: 28,TVB Stuttgart,SC DHfK Leipzig,29,25
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs Rhein-Neckar Löwen,2022-05-01 14:05,22:29,Final,Round: 28,TuS N-Lübbecke,Rhein-Neckar Löwen,22,29
LIQUI MOLY HBL 2021/22,SC Magdeburg vs Füchse Berlin,2022-05-01 12:00,28:27,Final,Round: 28,SC Magdeburg,Füchse Berlin,28,27
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs HC Erlangen,2022-04-30 16:30,27:33,Final,Round: 28,TBV Lemgo Lippe,HC Erlangen,27,33
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs Handball Sport Verein Hamburg,2022-04-30 16:30,33:23,Final,Round: 28,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,33,23
LIQUI MOLY HBL 2021/22,HC Erlangen vs MT Melsungen,2022-04-28 17:05,32:31,Final,Round: 19,HC Erlangen,MT Melsungen,32,31
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs Rhein-Neckar Löwen,2022-04-28 17:05,28:31,Final,Round: 21,SC DHfK Leipzig,Rhein-Neckar Löwen,28,31
LIQUI MOLY HBL 2021/22,THW Kiel vs HSG Wetzlar,2022-04-28 17:05,27:24,Final,Round: 26,THW Kiel,HSG Wetzlar,27,24
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs GWD Minden,2022-04-28 17:05,33:22,Final,Round: 28,FRISCH AUF! Göppingen,GWD Minden,33,22
LIQUI MOLY HBL 2021/22,Bergischer HC vs HBW Balingen-Weilstetten,2022-04-28 17:05,29:21,Final,Round: 28,Bergischer HC,HBW Balingen-Weilstetten,29,21
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs TSV Hannover-Burgdorf,2022-04-24 17:30,31:25,Final,Round: 22,FRISCH AUF! Göppingen,TSV Hannover-Burgdorf,31,25
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs Handball Sport Verein Hamburg,2022-04-21 17:05,29:27,Final,Round: 19,TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,29,27
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs TuS N-Lübbecke,2022-04-21 17:05,26:21,Final,Round: 21,HBW Balingen-Weilstetten,TuS N-Lübbecke,26,21
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs TVB Stuttgart,2022-04-21 17:05,28:23,Final,Round: 31,Rhein-Neckar Löwen,TVB Stuttgart,28,23
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs HBW Balingen-Weilstetten,2022-04-10 14:05,29:34,Final,Round: 22,Handball Sport Verein Hamburg,HBW Balingen-Weilstetten,29,34
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs TuS N-Lübbecke,2022-04-10 14:05,30:19,Final,Round: 27,SG Flensburg-Handewitt,TuS N-Lübbecke,30,19
LIQUI MOLY HBL 2021/22,Füchse Berlin vs TSV Hannover-Burgdorf,2022-04-10 14:05,32:32,Final,Round: 27,Füchse Berlin,TSV Hannover-Burgdorf,32,32
LIQUI MOLY HBL 2021/22,GWD Minden vs THW Kiel,2022-04-10 14:05,27:30,Final,Round: 27,GWD Minden,THW Kiel,27,30
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs SC Magdeburg,2022-04-10 12:00,26:29,Final,Round: 27,HSG Wetzlar,SC Magdeburg,26,29
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs Handball Sport Verein Hamburg,2022-04-07 17:05,28:34,Final,Round: 27,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,28,34
LIQUI MOLY HBL 2021/22,MT Melsungen vs FRISCH AUF! Göppingen,2022-04-07 17:05,24:26,Final,Round: 27,MT Melsungen,FRISCH AUF! Göppingen,24,26
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs TBV Lemgo Lippe,2022-04-07 17:05,29:25,Final,Round: 27,SC DHfK Leipzig,TBV Lemgo Lippe,29,25
LIQUI MOLY HBL 2021/22,HC Erlangen vs Bergischer HC,2022-04-07 17:05,30:23,Final,Round: 27,HC Erlangen,Bergischer HC,30,23
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs TVB Stuttgart,2022-04-07 17:05,25:28,Final,Round: 27,HBW Balingen-Weilstetten,TVB Stuttgart,25,28
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs HBW Balingen-Weilstetten,2022-04-03 14:05,27:28,Final,Round: 26,FRISCH AUF! Göppingen,HBW Balingen-Weilstetten,27,28
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs MT Melsungen,2022-04-03 14:05,23:31,Final,Round: 26,TuS N-Lübbecke,MT Melsungen,23,31
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs SC DHfK Leipzig,2022-04-03 14:05,24:33,Final,Round: 26,Handball Sport Verein Hamburg,SC DHfK Leipzig,24,33
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs GWD Minden,2022-04-03 12:00,20:32,Final,Round: 26,TBV Lemgo Lippe,GWD Minden,20,32
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs SG Flensburg-Handewitt,2022-04-02 18:30,29:29,Final,Round: 26,Rhein-Neckar Löwen,SG Flensburg-Handewitt,29,29
LIQUI MOLY HBL 2021/22,SC Magdeburg vs TSV Hannover-Burgdorf,2022-03-31 17:05,30:22,Final,Round: 26,SC Magdeburg,TSV Hannover-Burgdorf,30,22
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs HC Erlangen,2022-03-31 17:05,34:29,Final,Round: 26,TVB Stuttgart,HC Erlangen,34,29
LIQUI MOLY HBL 2021/22,Bergischer HC vs Füchse Berlin,2022-03-31 17:05,23:28,Final,Round: 26,Bergischer HC,Füchse Berlin,23,28
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs Füchse Berlin,2022-03-27 14:05,24:29,Final,Round: 14,Rhein-Neckar Löwen,Füchse Berlin,24,29
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs TuS N-Lübbecke,2022-03-27 14:05,25:21,Final,Round: 25,SC DHfK Leipzig,TuS N-Lübbecke,25,21
LIQUI MOLY HBL 2021/22,GWD Minden vs Handball Sport Verein Hamburg,2022-03-27 14:05,23:27,Final,Round: 25,GWD Minden,Handball Sport Verein Hamburg,23,27
LIQUI MOLY HBL 2021/22,MT Melsungen vs SG Flensburg-Handewitt,2022-03-27 12:00,26:32,Final,Round: 25,MT Melsungen,SG Flensburg-Handewitt,26,32
LIQUI MOLY HBL 2021/22,SC Magdeburg vs THW Kiel,2022-03-26 17:00,25:30,Final,Round: 25,SC Magdeburg,THW Kiel,25,30
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs Bergischer HC,2022-03-26 14:30,23:27,Final,Round: 25,HSG Wetzlar,Bergischer HC,23,27
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs TVB Stuttgart,2022-03-24 18:05,33:23,Final,Round: 25,TSV Hannover-Burgdorf,TVB Stuttgart,33,23
LIQUI MOLY HBL 2021/22,Füchse Berlin vs TBV Lemgo Lippe,2022-03-24 18:05,29:24,Final,Round: 25,Füchse Berlin,TBV Lemgo Lippe,29,24
LIQUI MOLY HBL 2021/22,HC Erlangen vs FRISCH AUF! Göppingen,2022-03-24 18:05,23:25,Final,Round: 25,HC Erlangen,FRISCH AUF! Göppingen,23,25
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs Rhein-Neckar Löwen,2022-03-24 18:05,22:31,Final,Round: 25,HBW Balingen-Weilstetten,Rhein-Neckar Löwen,22,31
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs HBW Balingen-Weilstetten,2022-03-13 15:00,35:21,Final,Round: 24,SG Flensburg-Handewitt,HBW Balingen-Weilstetten,35,21
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs MT Melsungen,2022-03-13 15:00,29:26,Final,Round: 24,Rhein-Neckar Löwen,MT Melsungen,29,26
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs HSG Wetzlar,2022-03-13 15:00,29:27,Final,Round: 24,TBV Lemgo Lippe,HSG Wetzlar,29,27
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs SC Magdeburg,2022-03-13 15:00,27:30,Final,Round: 24,TVB Stuttgart,SC Magdeburg,27,30
LIQUI MOLY HBL 2021/22,THW Kiel vs Füchse Berlin,2022-03-13 12:40,27:31,Final,Round: 24,THW Kiel,Füchse Berlin,27,31
LIQUI MOLY HBL 2021/22,FRISCH AUF! Göppingen vs SC DHfK Leipzig,2022-03-12 19:30,29:28,Final,Round: 24,FRISCH AUF! Göppingen,SC DHfK Leipzig,29,28
LIQUI MOLY HBL 2021/22,Bergischer HC vs TSV Hannover-Burgdorf,2022-03-10 18:05,25:23,Final,Round: 24,Bergischer HC,TSV Hannover-Burgdorf,25,23
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs GWD Minden,2022-03-10 18:05,19:21,Final,Round: 24,TuS N-Lübbecke,GWD Minden,19,21
LIQUI MOLY HBL 2021/22,Handball Sport Verein Hamburg vs HC Erlangen,2022-03-10 18:05,30:29,Final,Round: 24,Handball Sport Verein Hamburg,HC Erlangen,30,29
LIQUI MOLY HBL 2021/22,SC DHfK Leipzig vs SG Flensburg-Handewitt,2022-03-06 15:00,25:24,Final,Round: 23,SC DHfK Leipzig,SG Flensburg-Handewitt,25,24
LIQUI MOLY HBL 2021/22,HC Erlangen vs TuS N-Lübbecke,2022-03-06 15:00,29:22,Final,Round: 23,HC Erlangen,TuS N-Lübbecke,29,22
LIQUI MOLY HBL 2021/22,HBW Balingen-Weilstetten vs THW Kiel,2022-03-06 15:00,25:31,Final,Round: 23,HBW Balingen-Weilstetten,THW Kiel,25,31
LIQUI MOLY HBL 2021/22,SC Magdeburg vs Bergischer HC,2022-03-06 13:00,38:25,Final,Round: 23,SC Magdeburg,Bergischer HC,38,25
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs TBV Lemgo Lippe,2022-03-03 18:05,27:31,Final,Round: 23,TSV Hannover-Burgdorf,TBV Lemgo Lippe,27,31
LIQUI MOLY HBL 2021/22,MT Melsungen vs Handball Sport Verein Hamburg,2022-03-03 18:05,26:22,Final,Round: 23,MT Melsungen,Handball Sport Verein Hamburg,26,22
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs HSG Wetzlar,2022-03-03 18:05,26:26,Final,Round: 23,TVB Stuttgart,HSG Wetzlar,26,26
LIQUI MOLY HBL 2021/22,GWD Minden vs Rhein-Neckar Löwen,2022-03-03 18:05,31:33,Final,Round: 23,GWD Minden,Rhein-Neckar Löwen,31,33
LIQUI MOLY HBL 2021/22,THW Kiel vs HC Erlangen,2022-02-27 15:00,34:24,Final,Round: 22,THW Kiel,HC Erlangen,34,24
LIQUI MOLY HBL 2021/22,SG Flensburg-Handewitt vs GWD Minden,2022-02-27 15:00,31:31,Final,Round: 22,SG Flensburg-Handewitt,GWD Minden,31,31
LIQUI MOLY HBL 2021/22,Rhein-Neckar Löwen vs HSG Wetzlar,2022-02-27 15:00,27:30,Final,Round: 22,Rhein-Neckar Löwen,HSG Wetzlar,27,30
LIQUI MOLY HBL 2021/22,TuS N-Lübbecke vs Füchse Berlin,2022-02-27 15:00,26:32,Final,Round: 22,TuS N-Lübbecke,Füchse Berlin,26,32
LIQUI MOLY HBL 2021/22,TBV Lemgo Lippe vs SC Magdeburg,2022-02-27 13:00,25:44,Final,Round: 22,TBV Lemgo Lippe,SC Magdeburg,25,44
LIQUI MOLY HBL 2021/22,TVB Stuttgart vs Bergischer HC,2022-02-26 19:30,27:26,Final,Round: 22,TVB Stuttgart,Bergischer HC,27,26
LIQUI MOLY HBL 2021/22,MT Melsungen vs SC DHfK Leipzig,2022-02-24 18:05,22:22,Final,Round: 22,MT Melsungen,SC DHfK Leipzig,22,22
LIQUI MOLY HBL 2021/22,TSV Hannover-Burgdorf vs THW Kiel,2022-02-20 15:00,26:29,Final,Round: 21,TSV Hannover-Burgdorf,THW Kiel,26,29
LIQUI MOLY HBL 2021/22,Füchse Berlin vs TVB Stuttgart,2022-02-20 15:00,29:22,Final,Round: 21,Füchse Berlin,TVB Stuttgart,29,22
LIQUI MOLY HBL 2021/22,HSG Wetzlar vs Handball Sport Verein Hamburg,2022-02-20 15:00,26:25,Final,Round: 21,HSG Wetzlar,Handball Sport Verein Hamburg,26,25
LIQUI MOLY HBL 2021/22,Bergischer HC vs TBV Lemgo Lippe,2022-02-20 15:00,32:27,Final,Round: 21,Bergischer HC,TBV Lemgo Lippe,32,27
